condition_id,condition_name,condition_abr
0,Non-seral,NS
10,Early-All Structures,EARLY_ALL
20,Mid-Closed,MID_CL
21,Mid-Moderate,MID_MOD
22,Mid-Open,MID_OP
30,Late-Closed,LATE_CL
31,Late-Moderate,LATE_MOD
32,Late-Open,LATE_OP
40,Early-Aspen,EARLY_ASP
41,Mid-Aspen,MID_ASP
42,Mid-Aspen and Conifer,MID_AC
43,Late-Conifer and Aspen,LATE_CA
