Time Step,Climate Modifier
1,0.875470344
2,1.298541074
3,0.891711461
4,0.634312224
5,1.053081433
6,0.654663623
7,0.748082914
8,1.121625725
9,0.883960191
10,1.391716259
11,1.093099035
12,1.080797535
13,0.765916459
14,1.083262867
15,1.455721309
16,0.762546706
17,1.159439034
18,0.907398836
