Time Step,Climate Modifier
1,1.195164318
2,1.010053153
3,1.144086298
4,1.178168792
5,1.3879171
6,0.827491625
7,0.261587579
8,1.164558314
9,1.596783482
10,0.701334623
11,1.535483268
12,0.790784479
13,0.776222117
14,1.329585339
15,1.518119963
16,0.428355137
17,1.305413555
18,1.540618727
