Time Step,Climate Modifier
1,1.198995753
2,1.109679108
3,1.422312524
4,1.6651988
5,2.195829662
6,1.138542021
7,1.28865292
8,1.321116369
9,1.358094843
10,1.687128508
11,1.914104776
12,1.845411406
13,1.522891945
14,1.585680238
15,1.861540938
16,1.747038506
17,2.079383408
18,1.914556363
