condition_id,condition_name,condition_abr,condition_draftdocs
0,Non-seral,NS,
10,Early-All Structures,EARLY_ALL,ED
20,Mid-All Structures,MID_ALL,MD
21,Mid-Closed,MID_CL,MDC
22,Mid-Open,MID_OP,MDO
30,Late-All Structures,LATE_ALL,LD
31,Late-Closed,LATE_CL,LDC
32,Late-Open,LATE_OP,LDO
40,Early-Aspen,EARLY_ASP,EDA
41,Mid-Aspen,MID_ASP,MDA
42,Mid-Aspen and Conifer,MID_AC,MDAC
43,Late-Conifer and Aspen,LATE_CA,LDCA
