condition_id,condition_name,condition_abr,stage
0,Non-seral,NS,NS
10,Early-All Structures,EARLY_ALL,EARLY
20,Mid-All Structures,MID_ALL,MID
21,Mid-Closed,MID_CL,MID
22,Mid-Open,MID_OP,MID
30,Late-All Structures,LATE_ALL,LATE
31,Late-Closed,LATE_CL,LATE
32,Late-Open,LATE_OP,LATE
40,Early-Aspen,EARLY_ASP,EARLY
41,Mid-Aspen,MID_ASP,MID
42,Mid-Aspen and Conifer,MID_AC,MID
43,Late-Conifer and Aspen,LATE_CA,LATE
